"price","date","lat","long","cluster"
221900,2014,47.5112,-122.257,"7"
538000,2014,47.721,-122.319,"4"
180000,2015,47.7379,-122.233,"5"
604000,2014,47.5208,-122.393,"7"
510000,2015,47.6168,-122.045,"3"
1230000,2014,47.6561,-122.005,"2"
257500,2014,47.3097,-122.327,"1"
291850,2015,47.4095,-122.315,"1"
229500,2015,47.5123,-122.337,"7"
323000,2015,47.3684,-122.031,"9"
662500,2015,47.6007,-122.145,"6"
468000,2014,47.69,-122.292,"4"
310000,2014,47.7558,-122.229,"5"
4e+05,2014,47.6127,-122.045,"3"
530000,2015,47.67,-122.394,"4"
650000,2015,47.5714,-122.375,"7"
395000,2014,47.7277,-121.962,"2"
485000,2014,47.6648,-122.343,"4"
189000,2014,47.3089,-122.21,"10"
230000,2015,47.3343,-122.306,"1"
385000,2014,47.7025,-122.341,"4"
2e+06,2014,47.5316,-122.233,"6"
285000,2014,47.3266,-122.169,"10"
252700,2014,47.3533,-122.166,"10"
329000,2014,47.3739,-122.172,"10"
233000,2014,47.3048,-122.218,"10"
937000,2014,47.6386,-122.36,"4"
667000,2014,47.6221,-122.314,"4"
438000,2014,47.695,-122.304,"4"
719000,2015,47.7073,-122.11,"2"
580500,2014,47.5391,-122.07,"3"
280000,2014,47.7274,-122.357,"4"
687500,2014,47.6823,-122.368,"4"
535000,2014,47.6889,-122.375,"4"
322500,2014,47.4276,-122.157,"10"
696000,2014,47.6827,-122.31,"4"
550000,2014,47.6621,-122.132,"2"
640000,2014,47.6702,-122.362,"4"
240000,2015,47.3341,-122.282,"1"
605000,2014,47.5301,-122.18,"6"
625000,2014,47.6145,-122.027,"3"
775000,2014,47.445,-122.347,"7"
861990,2014,47.6848,-122.016,"2"
685000,2014,47.6413,-122.364,"4"
309000,2014,47.4485,-122.175,"10"
488000,2014,47.7443,-121.977,"2"
210490,2015,47.3066,-122.371,"1"
785000,2014,47.6194,-122.151,"6"
450000,2015,47.6796,-122.301,"4"
1350000,2015,47.4041,-122.451,"1"
228000,2014,47.4258,-122.322,"1"
345000,2015,47.4934,-122.189,"6"
6e+05,2014,47.6808,-122.384,"4"
585000,2015,47.6989,-122.369,"4"
920000,2015,47.6571,-122.281,"4"
885000,2014,47.6597,-122.29,"4"
292500,2014,47.3663,-122.114,"10"
301000,2015,47.3663,-122.122,"10"
951000,2014,47.588,-122.116,"6"
430000,2015,47.5059,-122.149,"6"
650000,2014,47.4336,-122.339,"1"
289000,2014,47.4366,-122.335,"7"
505000,2014,47.4428,-122.344,"7"
549000,2014,47.6765,-122.32,"4"
425000,2014,47.6113,-122.297,"7"
317625,2014,47.5747,-122.304,"7"
975000,2014,47.5815,-122.192,"6"
287000,2014,47.3378,-122.257,"1"
204000,2014,47.3621,-122.11,"10"
1330000,2014,47.6303,-122.215,"5"
1040000,2014,47.6525,-122.16,"5"
325000,2015,47.7362,-122.179,"5"
571000,2014,47.7168,-122.287,"4"
360000,2014,47.3608,-122.036,"9"
349000,2015,47.3511,-122.073,"9"
832500,2014,47.5822,-121.987,"3"
380000,2014,47.6034,-122.125,"6"
480000,2015,47.5636,-122.394,"7"
410000,2014,47.7073,-122.34,"4"
720000,2015,47.342,-122.025,"9"
390000,2014,47.3512,-122.008,"9"
360000,2014,47.349,-122.031,"9"
355000,2014,47.5474,-122.291,"7"
356000,2015,47.4811,-122.149,"6"
315000,2014,47.7264,-122.31,"4"
940000,2014,47.6337,-122.365,"4"
305000,2014,47.2909,-122.189,"10"
461000,2014,47.5228,-122.199,"6"
215000,2014,47.518,-122.194,"6"
335000,2014,47.5394,-122.387,"7"
243500,2014,47.2897,-122.372,"1"
1100000,2015,47.6506,-122.391,"4"
153000,2015,47.322,-122.351,"1"
430000,2014,47.687,-122.386,"4"
7e+05,2014,47.687,-122.386,"4"
905000,2014,47.5873,-122.249,"6"
247500,2015,47.3576,-122.277,"1"
199000,2014,47.3036,-122.378,"1"
314000,2014,47.4109,-121.958,"9"
437500,2014,47.4838,-121.714,"8"
850830,2014,47.6415,-122.315,"4"
555000,2014,47.6775,-122.372,"4"
699950,2014,47.7731,-122.08,"2"
1090000,2014,47.5814,-122.196,"6"
290000,2014,47.4375,-122.184,"10"
375000,2015,47.4431,-122.133,"10"
460000,2014,47.6878,-122.38,"4"
188500,2014,47.3813,-122.322,"1"
680000,2015,47.7304,-122.082,"2"
470000,2014,47.6417,-122.109,"2"
597750,2014,47.5386,-122.053,"3"
570000,2015,47.6823,-122.349,"4"
272500,2014,47.3624,-122.031,"9"
329950,2014,47.5474,-122.295,"7"
480000,2014,47.3183,-122.253,"1"
740500,2014,47.6981,-122.368,"4"
518500,2014,47.6824,-122.347,"4"
205425,2014,47.5009,-122.248,"6"
171800,2015,47.4965,-122.303,"7"
535000,2015,47.587,-122.294,"7"
660000,2015,47.7728,-122.386,"4"
391500,2014,47.7288,-122.226,"5"
395000,2015,47.6999,-122.364,"4"
445000,2014,47.5299,-122.266,"7"
770000,2014,47.6897,-122.098,"2"
1450000,2015,47.6141,-122.212,"6"
445000,2014,47.5091,-122.244,"6"
260000,2014,47.3129,-122.39,"1"
822500,2014,47.6763,-122.352,"4"
430000,2015,47.5319,-121.85,"8"
212000,2015,47.2761,-122.152,"10"
660500,2015,47.5343,-122.054,"3"
784000,2014,47.697,-122.072,"2"
453246,2014,47.5517,-121.998,"3"
675000,2015,47.6734,-122.38,"4"
199000,2014,47.3257,-122.296,"1"
220000,2014,47.3309,-122.299,"1"
452000,2014,47.7689,-122.266,"5"
382500,2014,47.7135,-122.287,"4"
519950,2014,47.6722,-122.381,"4"
665000,2014,47.6338,-122.358,"4"
527700,2014,47.5707,-122.128,"6"
205000,2015,47.4563,-122.171,"6"
420000,2015,47.7144,-122.351,"4"
5e+05,2015,47.5495,-122.174,"6"
921500,2014,47.7421,-122.026,"2"
890000,2014,47.6354,-122.353,"4"
430000,2014,47.5262,-121.943,"3"
258000,2014,47.3887,-122.286,"1"
511000,2014,47.6873,-122.336,"4"
532170,2014,47.6838,-122.353,"4"
560000,2015,47.655,-122.359,"4"
282950,2015,47.3255,-122.304,"1"
2250000,2015,47.562,-122.162,"6"
350000,2014,47.679,-122.3,"4"
215000,2014,47.4479,-122.176,"10"
650000,2014,47.525,-122.172,"6"
320000,2014,47.3135,-122.369,"1"
247000,2014,47.2086,-121.996,"9"
320000,2014,47.4715,-122.118,"6"
255000,2014,47.4877,-122.335,"7"
438000,2015,47.7171,-122.193,"5"
9e+05,2015,47.6012,-122.023,"3"
441000,2014,47.7319,-122.224,"5"
420000,2014,47.4582,-122.023,"3"
370000,2014,47.7209,-122.168,"5"
269950,2015,47.408,-122.327,"1"
807100,2015,47.565,-122.125,"6"
653000,2014,47.7028,-122.231,"5"
371500,2014,47.7458,-122.331,"4"
284000,2015,47.4776,-122.337,"7"
272000,2015,47.3026,-122.374,"1"
313000,2014,47.7658,-122.339,"4"
917500,2015,47.6477,-122.182,"5"
673000,2014,47.5619,-122.125,"6"
425000,2015,47.6106,-122.31,"7"
399950,2014,47.5868,-122.308,"7"
385000,2014,47.6101,-122.307,"7"
269950,2014,47.1976,-121.999,"9"
330000,2015,47.7224,-122.358,"4"
260000,2014,47.3505,-122.179,"10"
470000,2015,47.5384,-122.376,"7"
589000,2014,47.7044,-122.2,"5"
163500,2014,47.3848,-122.039,"9"
835000,2014,47.6993,-122.102,"2"
1100000,2014,47.6627,-122.188,"5"
269000,2015,47.3099,-122.379,"1"
560000,2014,47.62,-122.043,"3"
615000,2015,47.65,-122.34,"4"
585188,2014,47.6647,-122.153,"5"
305000,2014,47.726,-122.191,"5"
166950,2014,47.4616,-122.184,"6"
799000,2014,47.5505,-122.219,"6"
4e+05,2014,47.7606,-122.336,"4"
230000,2014,47.7481,-122.3,"4"
256883,2014,47.2779,-122.347,"1"
423000,2014,47.5511,-122.312,"7"
465000,2014,47.5488,-122.372,"7"
440000,2015,47.5385,-121.911,"8"
385000,2014,47.4058,-121.994,"9"
210000,2015,47.5093,-122.184,"6"
297000,2014,47.3777,-122.165,"10"
470000,2014,47.675,-122.394,"4"
226500,2014,47.3025,-122.37,"1"
274250,2015,47.4787,-122.158,"6"
840000,2014,47.5378,-122.219,"6"
677900,2014,47.7073,-122.114,"2"
425000,2015,47.5733,-122.381,"7"
180250,2014,47.4604,-122.339,"7"
